CBSA,MSA,Black Population,White Population (Non Hispanic),Hispanic Population,Asian Population,Black-White Dissimilarity ,Hispanic-NonHispanic Dissimilarity ,Asian-White Dissimilarity ,Hispanic-NonHispanic White  Dissimilarity ,Hispanic White-NonHispanic Black,H-NH Black
19820,"Detroit-Warren-Dearborn, MI","955,584","2,878,311","183,958","174,399",0.737,0.466,0.559,0.476,0.747,0.721
20020,"Dothan, AL","34,778","104,038","4,805",980,0.453,,,,,
20100,"Dover, DE","41,729","108,627","11,820","3,459",0.288,0.189,,0.239,,0.184
20500,"Durham-Chapel Hill, NC","163,494","334,005","66,956","26,255",0.465,0.360,0.476,0.467,0.364,0.318
20700,"East Stroudsburg, PA","21,807","113,048","24,980","3,704",0.329,0.241,,0.279,0.235,0.196
20940,"El Centro, CA","4,109","20,372","150,108","2,263",,0.381,,0.395,,
21060,"Elizabethtown-Fort Knox, KY","13,599","120,531","7,559","2,416",0.466,,,,,
21140,"Elkhart-Goshen, IN","11,044","152,901","31,179","2,091",0.567,0.371,,0.407,0.451,0.438
21340,"El Paso, TX","25,388","104,564","689,074","8,845",0.366,0.391,,0.407,0.492,0.497
21500,"Erie, PA","18,859","235,528","11,152","4,462",0.619,0.404,,0.449,,0.325
21660,"Eugene-Springfield, OR","3,696","300,329","30,653","9,171",,0.287,,0.293,,
21780,"Evansville, IN-KY","21,191","274,955","7,087","4,043",0.514,,,,,
22140,"Farmington, NM",653,"50,290","25,468",748,,0.352,,0.287,,
22180,"Fayetteville, NC","161,610","249,795","59,872","10,058",0.321,0.179,0.377,0.218,0.263,0.251
22220,"Fayetteville-Springdale-Rogers, AR","11,658","362,108","78,656","14,651",0.461,0.457,0.430,0.468,0.578,0.540
22380,"Flagstaff, AZ","1,729","75,269","19,265","2,493",,0.316,,0.243,,
22420,"Flint, MI","81,431","297,950","13,585","4,254",0.666,0.317,,0.334,,0.587
22500,"Florence, SC","85,917","109,994","4,739","2,071",0.352,,,,,
22520,"Florence-Muscle Shoals, AL","17,779","121,482","3,598",872,0.365,,,,,
22660,"Fort Collins, CO","2,868","275,297","36,993","6,652",,0.224,,0.228,,
22900,"Fort Smith, AR-OK","10,311","185,273","24,165","6,963",0.561,0.514,,0.538,0.276,0.265
23060,"Fort Wayne, IN","41,552","306,402","27,184","13,038",0.599,0.401,0.540,0.473,0.346,0.324
23420,"Fresno, CA","45,217","293,677","509,442","96,128",0.553,0.383,0.402,0.464,0.473,0.445
23460,"Gadsden, AL","15,847","80,750","3,794",706,0.638,,,,,
23540,"Gainesville, FL","55,978","207,993","28,184","15,461",0.423,0.211,0.457,0.228,0.436,0.408
23580,"Gainesville, GA","14,050","118,722","53,644","3,304",0.442,0.483,,0.530,0.400,0.387
24140,"Goldsboro, NC","37,503","67,352","14,009","1,476",0.390,0.370,,0.404,,0.421
24260,"Grand Island, NE","1,387","55,028","16,867",729,,0.467,,0.486,,
24300,"Grand Junction, CO","1,010","121,655","21,177","1,057",,0.224,,0.231,,
24340,"Grand Rapids-Kentwood, MI","67,106","824,500","97,003","26,136",0.640,0.475,0.473,0.510,0.543,0.546
24540,"Greeley, CO","2,956","189,741","82,920","3,754",,0.355,,0.365,,
24580,"Green Bay, WI","5,800","265,514","22,671","8,132",,0.461,,0.483,,
24660,"Greensboro-High Point, NC","197,558","446,335","61,238","26,740",0.533,0.340,0.548,0.429,0.420,0.427
24780,"Greenville, NC","60,582","97,236","10,671","3,040",0.345,0.264,,0.284,,0.361
24860,"Greenville-Anderson, SC","143,771","638,713","57,417","14,838",0.424,0.365,0.524,0.401,0.471,0.406
25060,"Gulfport-Biloxi, MS","86,154","279,067","21,145","9,127",0.430,0.348,,0.388,0.403,0.376
25180,"Hagerstown-Martinsburg, MD-WV","23,084","231,342","11,434","3,870",0.412,0.261,,0.302,,0.290
25220,"Hammond, LA","37,900","81,854","5,274",961,0.361,,,,,
25260,"Hanford-Corcoran, CA","8,916","49,728","80,715","5,463",,0.334,,0.368,,
25420,"Harrisburg-Carlisle, PA","57,312","440,844","32,822","20,534",0.640,0.409,0.483,0.479,0.399,0.330
25500,"Harrisonburg, VA","4,913","106,138","15,021","2,707",,0.412,,0.433,,
25540,"Hartford-East Hartford-Middletown, CT","127,182","829,039","172,449","56,648",0.657,0.504,0.407,0.569,0.467,0.424
25620,"Hattiesburg, MS","49,191","109,427","4,483","1,555",0.489,,,,,
25860,"Hickory-Lenoir-Morganton, NC","23,764","296,323","25,661","10,515",0.418,0.417,0.492,0.444,,0.400
25940,"Hilton Head Island-Bluffton, SC","44,448","132,245","23,824","2,353",0.526,0.427,,0.444,0.526,0.532
25980,"Hinesville, GA","29,132","35,460","9,766","1,442",0.271,,,,,
26380,"Houma-Thibodaux, LA","34,536","151,302","9,979","1,785",0.423,,,,,
26420,"Houston-The Woodlands-Sugar Land, TX","1,116,928","2,469,095","2,432,651","492,193",0.603,0.405,0.508,0.517,0.447,0.430
26620,"Huntsville, AL","96,664","300,880","22,057","10,100",0.476,0.356,0.413,0.405,0.414,0.397
26820,"Idaho Falls, ID",634,"118,649","16,911",997,,0.256,,0.260,,
26900,"Indianapolis-Carmel-Anderson, IN","293,922","1,458,005","129,654","57,009",0.644,0.424,0.504,0.496,0.460,0.415
27060,"Ithaca, NY","3,725","80,749","5,025","10,742",,,0.536,,,
27100,"Jackson, MI","13,066","135,108","5,404","1,178",0.595,,,,,
27140,"Jackson, MS","298,496","272,725","13,121","6,566",0.562,0.461,,0.501,,0.528
27180,"Jackson, TN","48,604","118,691","6,722","1,310",0.434,,,,,
27260,"Jacksonville, FL","306,301","924,669","118,640","54,696",0.537,0.260,0.424,0.296,0.497,0.451
27340,"Jacksonville, NC","26,342","128,724","23,474","3,978",0.333,0.188,,0.235,0.351,0.268
27500,"Janesville-Beloit, WI","7,017","134,345","13,573","1,899",,0.397,,0.427,,
27620,"Jefferson City, MO","11,456","130,468","3,847","1,427",0.464,,,,,
27860,"Jonesboro, AR","15,261","101,686","5,779","1,207",0.449,,,,,
27900,"Joplin, MO","2,977","150,752","12,108","2,094",,0.427,,0.429,,
27980,"Kahului-Wailuku-Lahaina, HI",819,"50,064","18,130","46,732",,0.189,0.511,0.312,,
28020,"Kalamazoo-Portage, MI","27,499","202,780","12,227","6,193",0.497,0.306,,0.336,,0.397
28100,"Kankakee, IL","16,681","79,961","11,142","1,081",0.576,0.290,,0.370,,0.323
28140,"Kansas City, MO-KS","256,523","1,525,181","184,178","56,371",0.595,0.401,0.478,0.451,0.546,0.504
28420,"Kennewick-Richland, WA","4,527","173,021","86,493","6,656",,0.425,,0.436,,
28660,"Killeen-Temple, TX","81,600","218,933","98,240","10,942",0.447,0.172,0.414,0.274,0.330,0.275
28740,"Kingston, NY","9,317","143,781","17,714","3,802",,0.293,,0.316,,
28940,"Knoxville, TN","48,811","729,534","30,111","12,505",0.581,0.407,0.515,0.430,0.567,0.516
29180,"Lafayette, LA","119,292","330,860","18,800","8,122",0.470,0.324,,0.336,0.555,0.497
29200,"Lafayette-West Lafayette, IN","8,901","178,180","16,484","14,874",,0.368,0.648,0.383,,
29340,"Lake Charles, LA","48,987","141,765","6,772","2,707",0.625,,,,,
29420,"Lake Havasu City-Kingman, AZ","1,997","159,694","32,591","2,371",,0.246,,0.246,,
29460,"Lakeland-Winter Haven, FL","95,997","397,742","134,399","10,861",0.427,0.309,0.457,0.335,0.387,0.384
29540,"Lancaster, PA","19,261","443,708","53,792","11,423",0.553,0.464,0.446,0.492,0.316,0.248
29620,"Lansing-East Lansing, MI","39,033","427,051","32,770","21,025",0.584,0.308,0.626,0.359,0.426,0.353
29700,"Laredo, TX",736,"9,382","257,482","1,343",,0.370,,,,
29740,"Las Cruces, NM","3,413","59,835","144,782","2,059",,0.338,,0.327,,
29820,"Las Vegas-Henderson-Paradise, NV","228,127","931,891","648,211","200,206",0.395,0.367,0.329,0.423,0.302,0.316
30020,"Lawton, OK","20,185","74,514","16,046","2,744",0.317,0.167,,0.208,,0.239
30140,"Lebanon, PA","2,512","114,705","16,795","1,765",,0.566,,0.576,,
30460,"Lexington-Fayette, KY","54,008","389,724","29,861","12,747",0.492,0.378,0.483,0.406,0.414,0.374
30620,"Lima, OH","12,231","84,618","2,995",750,0.522,,,,,
30700,"Lincoln, NE","11,992","267,683","21,047","13,047",0.473,0.362,0.472,0.386,0.347,0.337
30780,"Little Rock-North Little Rock-Conway, AR","167,246","494,857","37,443","11,544",0.564,0.373,0.525,0.437,0.467,0.432
30860,"Logan, UT-ID",873,"112,778","13,537","2,533",,0.302,,0.312,,
30980,"Longview, TX","51,622","181,481","42,738","2,481",0.342,0.298,,0.362,0.279,0.269
31080,"Los Angeles-Long Beach-Anaheim, CA","849,139","3,983,380","5,972,751","2,058,236",0.668,0.507,0.482,0.612,0.563,0.536
31140,"Louisville/Jefferson County, KY-IN","179,033","952,616","56,491","24,101",0.571,0.381,0.526,0.409,0.555,0.517
31180,"Lubbock, TX","20,760","167,660","108,764","6,125",0.478,0.303,,0.344,0.372,0.366
31340,"Lynchburg, VA","44,249","197,994","6,582","3,873",0.393,,,,,
31420,"Macon-Bibb County, GA","102,825","114,048","6,030","3,473",0.503,,,,,
31460,"Madera, CA","4,753","54,145","87,852","3,035",,0.442,,0.467,,
31540,"Madison, WI","27,232","529,495","36,271","30,163",0.493,0.370,0.468,0.398,0.385,0.367
31700,"Manchester-Nashua, NH","8,555","348,156","25,429","15,297",,0.457,0.457,0.475,,
31740,"Manhattan, KS","10,888","99,530","12,965","5,007",0.448,0.272,,0.313,,0.233
32580,"McAllen-Edinburg-Mission, TX","3,522","55,339","770,794","7,953",,0.412,,0.396,,
32780,"Medford, OR","1,232","173,230","25,928","2,468",,0.299,,0.310,,
32820,"Memphis, TN-MS-AR","622,061","589,730","71,281","26,771",0.603,0.449,0.490,0.532,0.600,0.508
32900,"Merced, CA","8,007","77,092","155,650","19,593",,0.275,0.408,0.321,,
33100,"Miami-Fort Lauderdale-Pompano Beach, FL","1,217,737","1,891,492","2,663,235","143,970",0.639,0.521,0.420,0.562,0.643,0.624
33140,"Michigan City-La Porte, IN","12,093","88,538","6,935",630,0.605,,,,,
33260,"Midland, TX","9,410","78,607","71,624","2,913",,0.356,,0.397,,
33340,"Milwaukee-Waukesha, WI","257,895","1,058,740","164,219","55,007",0.798,0.525,0.472,0.552,0.781,0.753
33460,"Minneapolis-St. Paul-Bloomington, MN-WI","278,710","2,684,513","200,141","224,129",0.551,0.391,0.476,0.444,0.444,0.412
33660,"Mobile, AL","150,080","249,312","11,497","8,219",0.541,0.402,,0.391,,0.582
33700,"Modesto, CA","13,607","232,230","240,816","28,680",0.404,0.326,0.371,0.349,0.387,0.389
33740,"Monroe, LA","76,740","119,762","4,791","1,737",0.623,,,,,
33860,"Montgomery, AL","165,052","183,410","11,482","6,494",0.543,0.483,,0.513,,0.551
34580,"Mount Vernon-Anacortes, WA",888,"91,371","21,851","2,022",,0.399,,0.409,,
34740,"Muskegon, MI","23,239","132,180","9,412",898,0.719,,,,,
34820,"Myrtle Beach-Conway-North Myrtle Beach, SC-NC","54,776","339,273","24,394","4,561",0.420,0.382,,0.392,0.476,0.462
34900,"Napa, CA","2,877","75,010","47,547","10,940",,0.279,0.597,0.290,,
34940,"Naples-Marco Island, FL","24,395","227,002","96,948","4,460",0.568,0.425,,0.473,0.284,0.280
34980,"Nashville-Davidson--Murfreesboro--Franklin, TN","275,334","1,311,363","127,362","47,423",0.539,0.417,0.489,0.467,0.458,0.419
35100,"New Bern, NC","27,031","83,857","8,267","2,978",0.365,,,,,
35300,"New Haven-Milford, CT","105,661","553,000","148,446","33,678",0.612,0.449,0.361,0.531,0.402,0.347
35380,"New Orleans-Metairie, LA","435,693","653,758","109,225","36,679",0.635,0.379,0.536,0.421,0.602,0.561
35620,"New York-Newark-Jersey City, NY-NJ-PA","3,106,157","9,028,065","4,754,297","2,157,926",0.768,0.479,0.529,0.603,0.609,0.536
35660,"Niles, MI","22,567","116,416","8,080","2,988",0.718,,,,,
35840,"North Port-Sarasota-Bradenton, FL","49,328","599,265","93,345","13,451",0.583,0.385,0.376,0.421,0.423,0.418
35980,"Norwich-New London, CT","14,093","206,261","27,186","11,128",0.534,0.420,0.395,0.464,0.319,0.276
36100,"Ocala, FL","42,355","245,045","42,467","5,050",0.473,0.313,,0.346,0.353,0.341
36220,"Odessa, TX","6,451","53,705","91,475","1,628",,0.273,,0.296,,
36260,"Ogden-Clearfield, UT","6,887","526,238","79,596","9,340",,0.365,,0.374,,
36420,"Oklahoma City, OK","136,353","881,097","173,160","42,037",0.514,0.455,0.457,0.480,0.572,0.551
36500,"Olympia-Lacey-Tumwater, WA","7,601","204,684","22,980","15,246",,0.221,0.314,0.242,,
36540,"Omaha-Council Bluffs, NE-IA","68,352","702,907","91,986","23,968",0.614,0.478,0.467,0.512,0.640,0.616
36740,"Orlando-Kissimmee-Sanford, FL","366,969","1,159,635","693,930","98,797",0.498,0.378,0.386,0.419,0.480,0.464
37100,"Oxnard-Thousand Oaks-Ventura, CA","13,416","391,128","358,244","59,513",0.505,0.505,0.318,0.542,0.443,0.428
37340,"Palm Bay-Melbourne-Titusville, FL","55,543","427,709","55,042","13,419",0.469,0.240,0.349,0.264,0.372,0.341
37460,"Panama City, FL","19,358","139,208","10,820","4,143",0.471,0.294,,0.323,,0.408
37860,"Pensacola-Ferry Pass-Brent, FL","76,510","339,161","25,671","12,031",0.465,0.248,0.355,0.268,0.479,0.480
37900,"Peoria, IL","35,675","344,643","13,710","8,948",0.724,0.385,,0.436,,0.455
37980,"Philadelphia-Camden-Wilmington, PA-NJ-DE-MD","1,231,099","3,793,936","546,680","346,561",0.670,0.469,0.447,0.544,0.563,0.527
38060,"Phoenix-Mesa-Chandler, AZ","228,477","2,573,055","1,391,821","167,063",0.492,0.446,0.392,0.489,0.362,0.351
38220,"Pine Bluff, AR","45,427","44,276","2,057",547,0.590,,,,,
38300,"Pittsburgh, PA","188,126","2,015,128","38,230","51,651",0.661,0.372,0.586,0.400,0.651,0.586
38900,"Portland-Vancouver-Hillsboro, OR-WA","65,403","1,768,699","276,917","149,255",0.513,0.331,0.410,0.347,0.494,0.484
38940,"Port St. Lucie, FL","65,902","298,050","74,701","7,616",0.475,0.342,,0.404,0.297,0.292
39100,"Poughkeepsie-Newburgh-Middletown, NY","64,950","460,773","109,305","20,717",0.491,0.325,0.388,0.380,0.334,0.300
39150,"Prescott Valley-Prescott, AZ","1,144","178,765","31,508","1,961",,0.277,,0.281,,
39300,"Providence-Warwick, RI-MA","77,213","1,234,563","194,823","47,241",0.581,0.556,0.442,0.602,0.353,0.326
39340,"Provo-Orem, UT","3,019","488,397","66,026","8,413",,0.315,,0.320,,
39380,"Pueblo, CO","2,594","85,660","69,809","1,141",,0.299,,0.309,,
39460,"Punta Gorda, FL","9,483","146,273","11,873","2,013",,0.243,,0.262,,
39540,"Racine, WI","20,797","141,849","24,763","2,358",0.529,0.402,,0.470,0.245,0.220
39580,"Raleigh-Cary, NC","249,000","788,837","132,530","67,511",0.422,0.334,0.518,0.396,0.342,0.301
39740,"Reading, PA","17,000","304,286","81,398","5,660",0.524,0.633,,0.661,0.360,0.351
39820,"Redding, CA","1,951","143,919","17,218","5,195",,0.207,,0.220,,
39900,"Reno, NV","9,542","287,363","106,714","23,299",,0.378,0.315,0.400,,
40060,"Richmond, VA","368,149","720,264","73,006","46,488",0.528,0.422,0.495,0.495,0.524,0.473
40140,"Riverside-San Bernardino-Ontario, CA","309,795","1,493,828","2,239,029","286,657",0.464,0.362,0.432,0.421,0.352,0.359
40220,"Roanoke, VA","40,586","246,934","11,519","6,602",0.536,0.367,,0.410,,0.464
40380,"Rochester, NY","117,757","831,039","75,926","30,648",0.651,0.425,0.504,0.490,0.407,0.356
40420,"Rockford, IL","36,630","241,646","46,318","7,882",0.571,0.378,,0.433,0.421,0.388
40580,"Rocky Mount, NC","67,804","67,675","8,649",851,0.366,,,,,
40660,"Rome, GA","13,938","68,872","10,224","1,431",0.478,0.409,,0.462,,0.421
40900,"Sacramento-Roseville-Folsom, CA","154,134","1,207,093","481,853","288,104",0.572,0.291,0.497,0.384,0.407,0.364
40980,"Saginaw, MI","35,165","135,088","16,052","2,321",0.649,0.321,,0.439,0.450,0.406
41100,"St. George, UT",979,"132,089","15,655","1,057",,0.305,,0.316,,
41180,"St. Louis, MO-IL","511,322","2,076,246","82,117","68,025",0.717,0.368,0.500,0.382,0.667,0.638
41420,"Salem, OR","4,195","282,041","96,644","8,027",,0.400,,0.416,,
41500,"Salinas, CA","10,621","132,600","250,913","24,213",0.565,0.558,0.407,0.596,0.637,0.655
